player_id,player,position,birth_date,league,minutes,matches,passes,passes_accurate,key_passes,assists,smart_passes,passes_into_penalty_area,progressive_passes,progressive_pass_distance,crosses,long_passes,shots,shots_on_target,goals,dribbles_won,dribbles_attempted,accelerations,touches_att_pen_area,tackles_won,tackles_attempted,interceptions,clearances,aerials_won,age,season,passes_pct,dribble_success_pct
20812,A. Acquah,MF,1992-01-05,Serie A,979.0,20.0,467.0,406.0,1.0,0.0,1.0,5.0,63.0,2687.999999999999,14.0,24.0,9.0,3.0,1.0,37.0,75.0,7.0,9.0,9.0,57.0,30.0,6.0,12.0,26,2017-18,86.9,49.3
293198,A. Romero,MF,1995-10-18,Serie A,82.0,6.0,50.0,36.0,1.0,0.0,0.0,1.0,7.0,214.2,0.0,3.0,0.0,0.0,0.0,5.0,11.0,1.0,3.0,4.0,23.0,6.0,0.0,1.0,22,2017-18,72.0,45.5
20815,A. Barberis,MF,1993-12-11,Serie A,3027.0,38.0,968.0,753.0,3.0,0.0,4.0,22.0,133.0,5019.000000000001,24.0,78.0,23.0,8.0,2.0,57.0,133.0,3.0,25.0,69.0,311.0,186.0,44.0,48.0,24,2017-18,77.8,42.9
69968,M. Brozović,MF,1992-11-16,Serie A,1922.0,31.0,1640.0,1436.0,11.0,5.0,24.0,71.0,259.0,10816.050000000003,45.0,148.0,46.0,16.0,4.0,66.0,136.0,15.0,70.0,36.0,184.0,84.0,11.0,21.0,25,2017-18,87.6,48.5
20816,É. Barreto,MF,1984-07-15,Serie A,2015.0,28.0,1042.0,853.0,3.0,0.0,4.0,34.0,120.0,4887.749999999996,39.0,93.0,17.0,6.0,1.0,48.0,92.0,2.0,49.0,43.0,215.0,96.0,19.0,31.0,33,2017-18,81.9,52.2
22864,L. Mora,MF,1988-05-10,Serie A,934.0,17.0,314.0,227.0,2.0,0.0,6.0,18.0,50.0,1903.6500000000005,26.0,32.0,5.0,0.0,0.0,34.0,63.0,0.0,16.0,10.0,71.0,27.0,11.0,37.0,29,2017-18,72.3,54.0
20820,J. Iličić,FW,1988-01-29,Serie A,2002.0,31.0,1038.0,845.0,16.0,5.0,27.0,97.0,135.0,4984.350000000009,50.0,65.0,91.0,39.0,11.0,251.0,469.0,29.0,166.0,13.0,92.0,46.0,4.0,6.0,29,2017-18,81.4,53.5
149846,C. Falletti,MF,1992-12-02,Serie A,309.0,13.0,154.0,124.0,0.0,0.0,0.0,7.0,12.0,547.05,11.0,6.0,10.0,3.0,1.0,26.0,53.0,6.0,26.0,6.0,22.0,14.0,2.0,1.0,25,2017-18,80.5,49.1
149848,F. Avenatti,FW,1993-04-26,Serie A,463.0,11.0,106.0,70.0,0.0,0.0,2.0,2.0,4.0,244.65,6.0,7.0,2.0,1.0,0.0,16.0,51.0,0.0,32.0,3.0,16.0,11.0,4.0,34.0,24,2017-18,66.0,31.4
82266,L. Krejčí,FW,1992-07-05,Serie A,390.0,11.0,152.0,119.0,0.0,0.0,1.0,9.0,6.0,385.34999999999997,12.0,3.0,3.0,2.0,0.0,13.0,26.0,4.0,14.0,2.0,20.0,9.0,1.0,4.0,25,2017-18,78.3,50.0
86366,J. Palomino,DF,1990-01-05,Serie A,1979.0,26.0,1051.0,901.0,1.0,0.0,3.0,7.0,223.0,8557.500000000007,10.0,84.0,9.0,2.0,1.0,20.0,43.0,6.0,28.0,74.0,239.0,136.0,56.0,67.0,28,2017-18,85.7,46.5
20832,A. Consigli,GK,1987-01-27,Serie A,3317.0,37.0,608.0,508.0,0.0,0.0,0.0,1.0,327.0,12816.300000000003,0.0,278.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,4.0,63.0,13.0,13.0,30,2017-18,83.6,66.7
289122,R. Karsdorp,DF,1995-02-11,Serie A,82.0,1.0,50.0,42.0,0.0,0.0,1.0,0.0,6.0,212.10000000000002,2.0,6.0,1.0,1.0,0.0,3.0,5.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,22,2017-18,84.0,60.0
22883,A. Izzo,DF,1992-03-02,Serie A,1388.0,16.0,781.0,622.0,0.0,0.0,0.0,12.0,160.0,5860.050000000003,16.0,185.0,3.0,1.0,1.0,33.0,55.0,5.0,7.0,50.0,139.0,81.0,38.0,38.0,25,2017-18,79.6,60.0
125286,G. González,DF,1988-02-08,Serie A,1947.0,22.0,933.0,783.0,0.0,0.0,0.0,1.0,237.0,8889.300000000005,0.0,182.0,0.0,0.0,0.0,10.0,19.0,2.0,9.0,25.0,104.0,150.0,86.0,50.0,29,2017-18,83.9,52.6
350569,L. Šimić,DF,1996-07-15,Serie A,316.0,5.0,112.0,90.0,0.0,0.0,0.0,0.0,26.0,963.8999999999997,0.0,21.0,2.0,1.0,1.0,4.0,7.0,2.0,7.0,8.0,34.0,19.0,14.0,14.0,21,2017-18,80.4,57.1
20842,F. Peluso,DF,1984-01-20,Serie A,2621.0,31.0,901.0,666.0,5.0,1.0,0.0,26.0,223.0,8521.799999999997,59.0,179.0,10.0,3.0,1.0,25.0,48.0,10.0,37.0,39.0,217.0,154.0,70.0,63.0,33,2017-18,73.9,52.1
20841,A. Masiello,DF,1985-02-05,Serie A,2707.0,31.0,1815.0,1586.0,0.0,0.0,7.0,17.0,414.0,16525.95,7.0,281.0,21.0,7.0,4.0,22.0,40.0,9.0,32.0,43.0,188.0,195.0,107.0,46.0,32,2017-18,87.4,55.0
